OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_10_POST_NIRS
Export date:	2022/12/16 07:35:23
Start of measurement:	2022-12-15 00:44:35.492

Datafile sample rate:	10.00	Hz
Datafile duration:	3475.500	s
Datafile total number of samples:	34755

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.58

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3475.500
Selected time span (sample numbers):	0	34755


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_10_POST_NIRS)
3	Rx1-Tx1 HHb (T2A_10_POST_NIRS)
4	Rx1-Tx1 tHb (T2A_10_POST_NIRS)
5	Rx1-Tx2 O2Hb (T2A_10_POST_NIRS)
6	Rx1-Tx2 HHb (T2A_10_POST_NIRS)
7	Rx1-Tx2 tHb (T2A_10_POST_NIRS)
8	Rx1-Tx3 O2Hb (T2A_10_POST_NIRS)
9	Rx1-Tx3 HHb (T2A_10_POST_NIRS)
10	Rx1-Tx3 tHb (T2A_10_POST_NIRS)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_10_POST_NIRS)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_10_POST_NIRS)
13	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_67_POST_NIRS)
14	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_67_POST_NIRS)
15	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
     0	129.0850	70.0402	199.1252	104.7400	57.9568	162.6967	87.1837	53.2885	140.4720	11.5652	98.7634	11.5652	98.7634	
     1	-0.0387	-0.0238	-0.0624	-0.0158	-0.0464	-0.0621	-0.1109	 0.0052	-0.1058	60.2732	99.8359	67.1252	99.9072	
     2	-0.0454	-0.0138	-0.0593	-0.0158	-0.0464	-0.0621	-0.1051	 0.0088	-0.0964	60.3240	99.8377	67.2683	99.9036	
     3	-0.0387	-0.0238	-0.0624	-0.0158	-0.0464	-0.0621	-0.1109	 0.0052	-0.1058	60.2732	99.8359	67.2937	99.9063	
     4	-0.0677	-0.0134	-0.0811	-0.0410	-0.0375	-0.0784	-0.1225	-0.0021	-0.1247	60.3704	99.8344	67.0933	99.9068	
     5	-0.0754	-0.0181	-0.0935	-0.0417	-0.0502	-0.0919	-0.1333	 0.0018	-0.1317	60.3218	99.8365	66.1420	99.9127	
     6	-0.0831	-0.0229	-0.1060	-0.0669	-0.0413	-0.1082	-0.1391	-0.0019	-0.1411	60.3218	99.8360	64.7310	99.9104	
     7	-0.1122	-0.0125	-0.1246	-0.0736	-0.0454	-0.1190	-0.1558	-0.0017	-0.1576	60.3704	99.8357	64.4059	99.9196	
     8	-0.0976	-0.0177	-0.1153	-0.0728	-0.0327	-0.1055	-0.1167	 0.0015	-0.1152	60.4277	99.8372	65.6993	99.9118	
     9	-0.0377	-0.0091	-0.0468	-0.0142	-0.0210	-0.0352	-0.0493	 0.0118	-0.0376	60.4826	99.8378	65.8774	99.8949	
    10	-0.0155	-0.0095	-0.0250	 0.0110	-0.0299	-0.0189	-0.0442	 0.0043	-0.0400	60.4783	99.8367	65.1723	99.9053	
    11	-0.0232	-0.0143	-0.0375	-0.0083	-0.0295	-0.0378	-0.0558	-0.0030	-0.0588	60.4762	99.8364	63.6786	99.9041	
    12	-0.0377	-0.0091	-0.0468	-0.0083	-0.0295	-0.0378	-0.0500	 0.0007	-0.0494	60.5289	99.8372	64.8097	99.9007	
    13	-0.0232	-0.0143	-0.0375	-0.0142	-0.0210	-0.0352	-0.0609	 0.0045	-0.0564	60.4277	99.8358	65.9606	99.9193	
    14	-0.0522	-0.0039	-0.0561	-0.0335	-0.0207	-0.0541	-0.0724	-0.0027	-0.0753	60.5247	99.8357	67.5039	99.9312	
    15	-0.0599	-0.0086	-0.0686	-0.0461	-0.0162	-0.0623	-0.0891	-0.0025	-0.0917	60.4740	99.8338	67.8773	99.9320	
    16	-0.0677	-0.0134	-0.0811	-0.0653	-0.0159	-0.0812	-0.0840	-0.0100	-0.0941	60.5247	99.8352	67.8194	99.9185	
    17	-0.0899	-0.0129	-0.1028	-0.0720	-0.0200	-0.0920	-0.1007	-0.0098	-0.1106	60.5247	99.8343	67.2291	99.9215	
    18	-0.1044	-0.0077	-0.1122	-0.0905	-0.0070	-0.0975	-0.1007	-0.0098	-0.1106	60.5753	99.8333	66.1870	99.9200	
    19	-0.0522	-0.0039	-0.0561	-0.0260	-0.0038	-0.0298	-0.0275	 0.0041	-0.0235	60.6342	99.8356	64.1544	99.9095	
    20	-0.0000	 0.0000	 0.0000	-0.0000	-0.0000	-0.0000	 0.0000	 0.0000	-0.0000	60.6300	99.8363	64.6411	99.9251	
    21	-0.0222	 0.0005	-0.0218	-0.0126	 0.0044	-0.0082	-0.0224	-0.0034	-0.0259	60.6280	99.8327	66.0102	99.9087	
    22	-0.0300	-0.0043	-0.0343	-0.0193	 0.0003	-0.0190	-0.0224	-0.0034	-0.0259	60.6300	99.8340	66.3150	99.8933	
    23	-0.0300	-0.0043	-0.0343	-0.0252	 0.0089	-0.0163	-0.0224	-0.0034	-0.0259	60.6300	99.8326	65.6566	99.8986	
    24	-0.0300	-0.0043	-0.0343	-0.0319	 0.0047	-0.0271	-0.0340	-0.0107	-0.0447	60.6259	99.8324	64.0778	99.9032	
    25	-0.0522	-0.0039	-0.0561	-0.0512	 0.0051	-0.0461	-0.0506	-0.0104	-0.0612	60.6259	99.8324	64.9137	99.9117	
    26	-0.0599	-0.0086	-0.0686	-0.0704	 0.0054	-0.0651	-0.0622	-0.0177	-0.0800	60.6238	99.8321	65.9614	99.9140	
    27	-0.0822	-0.0082	-0.0904	-0.0771	 0.0013	-0.0759	-0.0789	-0.0175	-0.0965	60.6238	99.8312	66.6847	99.9240	
    28	-0.0899	-0.0129	-0.1028	-0.0964	 0.0016	-0.0948	-0.0905	-0.0248	-0.1153	60.6217	99.8308	67.9840	99.9357	
    29	-0.1044	-0.0077	-0.1122	-0.0964	 0.0016	-0.0948	-0.0680	-0.0213	-0.0894	60.7269	99.8334	67.8148	99.9304	
