OxySoft export of:	C:\Users\TO3 TechSupport\Documents\Train2Adapt\Post_tests\T2A_37_POST_NIRS
Export date:	2022/12/16 04:27:43
Start of measurement:	2022-12-16 03:26:55.666

Datafile sample rate:	10.00	Hz
Datafile duration:	3382.500	s
Datafile total number of samples:	33825

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	6.56

Device id:	334
# Receivers:	1
# Light sources:	6
# ADC:	2

Light source wavelengths:
device	index	wavelength
1	1	849	nm
1	2	759	nm
1	3	846	nm
1	4	757	nm
1	5	848	nm
1	6	757	nm

Export sample rate:	10.00	Hz
Selected time span:	0	3382.500
Selected time span (sample numbers):	0	33825


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (T2A_37_POST_NIRS)
3	Rx1-Tx1 HHb (T2A_37_POST_NIRS)
4	Rx1-Tx1 tHb (T2A_37_POST_NIRS)
5	Rx1-Tx2 O2Hb (T2A_37_POST_NIRS)
6	Rx1-Tx2 HHb (T2A_37_POST_NIRS)
7	Rx1-Tx2 tHb (T2A_37_POST_NIRS)
8	Rx1-Tx3 O2Hb (T2A_37_POST_NIRS)
9	Rx1-Tx3 HHb (T2A_37_POST_NIRS)
10	Rx1-Tx3 tHb (T2A_37_POST_NIRS)
11	Rx1-Tx1,Tx2,Tx3 TSI% (T2A_37_POST_NIRS)
12	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (T2A_37_POST_NIRS)
13	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13
     0	118.5486	61.6110	180.1595	95.2522	50.2435	145.4956	77.4493	44.4748	121.9241	11.5652	98.7634	
     1	-0.1803	-0.0259	-0.2064	-0.1951	-0.0222	-0.2172	-0.2342	 0.0030	-0.2311	56.1911	99.9930	
     2	-0.1803	-0.0259	-0.2064	-0.2203	-0.0133	-0.2336	-0.2290	-0.0045	-0.2335	56.2327	99.9924	
     3	-0.1803	-0.0259	-0.2064	-0.2144	-0.0219	-0.2362	-0.2232	-0.0008	-0.2241	56.2359	99.9921	
     4	-0.1503	-0.0216	-0.1720	-0.1564	-0.0228	-0.1792	-0.1891	 0.0099	-0.1792	56.2424	99.9927	
     5	-0.1202	-0.0173	-0.1376	-0.1236	-0.0149	-0.1385	-0.1615	 0.0058	-0.1556	56.2840	99.9932	
     6	-0.1202	-0.0173	-0.1376	-0.1362	-0.0104	-0.1467	-0.1615	 0.0058	-0.1556	56.2840	99.9929	
     7	-0.1202	-0.0173	-0.1376	-0.1303	-0.0190	-0.1493	-0.1454	-0.0055	-0.1510	56.3702	99.9927	
     8	-0.1202	-0.0173	-0.1376	-0.1429	-0.0146	-0.1575	-0.1505	 0.0020	-0.1486	56.3287	99.9923	
     9	-0.1202	-0.0173	-0.1376	-0.1370	-0.0232	-0.1602	-0.1563	-0.0017	-0.1580	56.3255	99.9924	
    10	-0.1202	-0.0173	-0.1376	-0.1429	-0.0146	-0.1575	-0.1454	-0.0055	-0.1510	56.3702	99.9924	
    11	-0.0970	-0.0029	-0.1000	-0.1035	-0.0025	-0.1059	-0.1222	 0.0090	-0.1132	56.3734	99.9929	
    12	-0.0601	-0.0086	-0.0688	-0.0715	-0.0073	-0.0788	-0.0997	 0.0125	-0.0872	56.3319	99.9928	
    13	-0.0601	-0.0086	-0.0688	-0.0841	-0.0028	-0.0869	-0.0946	 0.0050	-0.0896	56.3734	99.9926	
    14	-0.0601	-0.0086	-0.0688	-0.0782	-0.0114	-0.0896	-0.1106	 0.0163	-0.0943	56.2872	99.9926	
    15	-0.0601	-0.0086	-0.0688	-0.0782	-0.0114	-0.0896	-0.0836	 0.0011	-0.0825	56.4181	99.9923	
    16	-0.0601	-0.0086	-0.0688	-0.0782	-0.0114	-0.0896	-0.0836	 0.0011	-0.0825	56.4181	99.9923	
    17	-0.0678	-0.0134	-0.0813	-0.0782	-0.0114	-0.0896	-0.0836	 0.0011	-0.0825	56.4213	99.9925	
    18	-0.0446	 0.0009	-0.0438	-0.0269	-0.0165	-0.0434	-0.0386	 0.0080	-0.0306	56.5137	99.9925	
    19	 0.0000	 0.0000	-0.0000	 0.0059	-0.0086	-0.0027	-0.0051	 0.0075	 0.0024	56.5137	99.9926	
    20	 0.0000	 0.0000	-0.0000	-0.0000	 0.0000	-0.0000	-0.0000	 0.0000	 0.0000	56.5552	99.9928	
    21	 0.0000	 0.0000	-0.0000	 0.0059	-0.0086	-0.0027	-0.0000	 0.0000	 0.0000	56.5552	99.9927	
    22	 0.0000	 0.0000	-0.0000	-0.0194	 0.0003	-0.0190	-0.0000	 0.0000	 0.0000	56.5552	99.9921	
    23	 0.0000	 0.0000	-0.0000	-0.0135	-0.0082	-0.0217	 0.0051	-0.0075	-0.0024	56.5966	99.9920	
